Order.1.2,Family.1.2,Binomial.1.2,Biomass.Kg.km2
Rodentia,Caviidae,Hydrochoerus_hydrochaeris,2752
Pilosa,Bradypodidae,Bradypus_variegatus,649
Rodentia,Cuniculidae,Cuniculus_paca,359
Cetartiodactyla,Cervidae,Mazama_americana,141
Primates,Hominidae,Homo_sapiens,131
Cingulata,CingulataFam,Dasypus_novemcinctus,121
Cetartiodactyla,Tayassuidae,Pecari_tajacu,118
Rodentia,Echimyidae,Proechimys_goeldii,113
Rodentia,Echimyidae,Proechimys_roberti,112
Cetartiodactyla,Tayassuidae,Tayassu_pecari,110
Rodentia,Echimyidae,Dactylomys_dactylinus,105
Perissodactyla,Tapiridae,Tapirus_terrestris,102
Rodentia,Dasyproctidae,Dasyprocta_leporina,92
Primates,Atelidae,Alouatta_caraya,84
Cetartiodactyla,Cervidae,Mazama_nemorivaga,78
Rodentia,Erethizontidae,Coendou_prehensilis,70
Cingulata,CingulataFam,Dasypus_kappleri,70
Rodentia,Echimyidae,Makalata_didelphoides,67
Primates,Atelidae,Alouatta_discolor,66
Primates,Atelidae,Alouatta_belzebul,65
Lagomorpha,Leporidae,Sylvilagus_brasiliensis,62
Cingulata,CingulataFam,Dasypus_septemcinctus,60
Primates,Atelidae,Ateles_marginatus,56
Pilosa,Myrmecophagidae,Myrmecophaga_tridactyla,49
Primates,Cebidae,Sapajus_libidinosus,49
Rodentia,Cricetidae,Nectomys_rattus,47
Rodentia,Cricetidae,Holochilus_sciureus,41
Cingulata,CingulataFam,Priodontes_maximus,32
Rodentia,Sciuridae,Sciurus_aestuans,31
Pilosa,Myrmecophagidae,Tamandua_tetradactyla,31
Primates,Cebidae,Saimiri_sciureus,27
Carnivora,Procyonidae,Potos_flavus,24
Rodentia,Cricetidae,Necromys_lasiurus,24
Carnivora,Procyonidae,Procyon_cancrivorus,24
Primates,Cebidae,Sapajus_apella,23
Carnivora,Procyonidae,Nasua_nasua,22
Primates,Aotidae,Aotus_azarae,21
Rodentia,Cricetidae,Hylaeamys_yunganus,16
Rodentia,Cricetidae,Hylaeamys_megacephalus,16
Primates,Pitheciidae,Chiropotes_albinasus,14
Cingulata,CingulataFam,Euphractus_sexcinctus,14
Rodentia,Cricetidae,Oecomys_roberti,14
Primates,Pitheciidae,Callicebus_moloch,13
Didelphimorphia,Didelphidae,Metachirus_nudicaudatus,13
Rodentia,Cricetidae,Oecomys_concolor,12
Rodentia,Cricetidae,Rhipidomys_emiliae,12
Carnivora,Mustelidae,Pteronura_brasiliensis,10
Cingulata,CingulataFam,Cabassous_unicinctus,9
Rodentia,Cricetidae,Oecomys_bicolor,8
Didelphimorphia,Didelphidae,Caluromys_philander,8
Primates,Callitrichidae,Mico_emiliae,7
Carnivora,Mustelidae,Lontra_longicaudis,6
Carnivora,Canidae,Speothos_venaticus,5
Didelphimorphia,Didelphidae,Monodelphis_glirina,4
Didelphimorphia,Didelphidae,Marmosa_demerarae,4
Carnivora,Mustelidae,Galictis_vittata,3
Carnivora,Felidae,Puma_concolor,3
Carnivora,Mustelidae,Eira_barbara,2
Carnivora,Felidae,Leopardus_pardalis,2
Didelphimorphia,Didelphidae,Marmosops_bishopi,2
Carnivora,Felidae,Herpailurus_yagouaroundi,1
Carnivora,Felidae,Leopardus_wiedii,1
Carnivora,Felidae,Leopardus_tigrinus,1
