Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10.fmr.mean,se.fmr,fmr.mean,fmr.geo.mean,log10.density.mean,se.dens,density.mean,density.geo.mean
Abditomys_latidens,Rodentia,Muridae,Abditomys,latidens,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,269,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4730034333333335,0.07333552211909575,301.4628539059709,297.1689524461966,2.672180065485199,0.306065714393111,597.7569527932322,470.0889746633808
Abeomelomys_sevia,Rodentia,Muridae,Abeomelomys,sevia,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,52,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,78,3,19,Imputed 000 Species,PHYLACINE 1.2.1,1.9384585333333333,0.08269032170463941,88.37768503795748,86.78777079139897,2.7744164064478003,0.35107061400285505,827.8193322716221,594.8622458998564
Abrawayaomys_ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,63,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,88,1,11,Imputed 000 Species,PHYLACINE 1.2.1,2.0885294333333335,0.08700988110639468,125.080100354921,122.610999671402,2.5539313944575395,0.33998673742799007,488.1595439577658,358.03987304071705
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.404655733333333,0.11949057538706136,263.70518575410546,253.8959266249336,2.4088669519888897,0.3563724134504827,357.2508448299303,256.3698515963908
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,158,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.2671508333333334,0.12086653917745996,192.3198948028755,184.99109936906513,2.6082402618391285,0.4508922129613326,706.1221095461136,405.7329342959962
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,360.7,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.5145338,0.12026605336540606,339.83432199846703,326.98949457841644,2.4282548558526105,0.45823412367935856,462.1753073197533,268.07409952965685
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.4048145333333335,0.12001374652611244,263.9185117899729,253.9887807757432,2.5107816113852715,0.4579406315214662,570.1655032226555,324.1765614588923
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,233.4,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.3838889666666665,0.12030989421135434,251.49115472239515,242.04101566139784,2.529560683736971,0.4626119971944369,594.6289742960225,338.50156720590513
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,276.3,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.4341509333333335,0.12229069999076096,282.7797013550967,271.73834956350765,2.4899941462099617,0.4598883792061659,541.842624663655,309.025377916671
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,245.8,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.4006660666666666,0.11903250836590054,261.21092082364646,251.57418050682128,2.5043977108299074,0.4515828874074487,550.2643833959961,319.44618861271846
