Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,log10FMR_est,se.fmr,log10dens.est,se.dens
Abditomys_latidens,Rodentia,Muridae,Abditomys,latidens,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,269,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,DD,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.365914486225353,0.07629833036069586,2.716044621354892,0.07482846969076797
Abeomelomys_sevia,Rodentia,Muridae,Abeomelomys,sevia,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,52,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,LC,No,78,3,19,Imputed 000 Species,PHYLACINE 1.2,1.8807286453257748,0.08034058436006729,2.8448725490507116,0.04856733154142717
Abrawayaomys_ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,63,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,88,1,11,Imputed 000 Species,PHYLACINE 1.2,2.0460259493062614,0.08434384629818437,2.829830621870782,0.05095026869621547
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.327922569632376,0.12155791152316907,2.4548718008159782,0.0640600886599023
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,158,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,CR,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.1876679966572175,0.1221046623775947,2.5700432944106613,0.06443194222435814
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,360.7,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.4388131192588953,0.12304158663875964,2.362861868186306,0.06394741187313945
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",2.3272263024292728,0.12237988945380578,2.4548718008159782,0.0640600886599023
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,233.4,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.3073083525328366,0.12133148832969318,2.4721167320192072,0.06409949633452214
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,276.3,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,LC,No,100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",2.3581277395137388,0.12159463250840154,2.4297660338138902,0.06401302113846784
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,1,0,0,0,Reported,IUCN. 2016. IUCN red list of threatened species. Version 2016-3.,245.8,Assumed isometric based on head-body length,Journal of Mammalogy 83: 1-19 (2002),Abrocoma_cinerea,Journal of Mammalogy 83: 1-19 (2002),Occurs on mainland,DD,No,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",2.323362279029943,0.12132727773860541,2.459124281805643,0.06406927142690322
