Binomial.1.2,Q
Abditomys_latidens,2701.866027481835
Abeomelomys_sevia,998.5165134279322
Abrawayaomys_ruschii,849.0653925303831
Abrocoma_bennettii,1258.9340999192266
Abrocoma_boliviensis,1451.6817163336855
Abrocoma_budini,1695.3874643963143
Abrocoma_cinerea,1592.4890564268012
Abrocoma_famatina,1584.6376206478783
Abrocoma_shistacea,1624.1472135736517
Abrocoma_uspallata,1554.3330777661586
Abrocoma_vaccarum,1569.5914433141597
Abrothrix_andinus,1006.115590518756
Abrothrix_illutea,1152.3043368489768
Abrothrix_jelskii,1016.0387239010005
Abrothrix_lanosus,1012.7868209781685
Abrothrix_longipilis,1220.7685690914846
Abrothrix_olivaceus,1167.3747234933803
Abrothrix_sanborni,998.2787045218537
Acinonyx_jubatus,11.60784236998637
Acomys_airensis,1545.1404564364047
Acomys_cahirinus,1598.6277569468846
Acomys_cilicicus,1485.753700783394
Acomys_cineraceus,1273.352195870275
Acomys_dimidiatus,1464.044233133922
Acomys_ignitus,1285.9560742145327
Acomys_johannis,1243.4443389578614
Acomys_kempi,1215.5169423120149
Acomys_louisae,1000.5068077377134
Acomys_minous,1592.2032087976156
Acomys_mullah,1301.4202651590858
Acomys_nesiotes,1551.6067944969318
Acomys_percivali,1209.308868769345
Acomys_russatus,1594.19665437478
Acomys_seurati,1653.3923010210347
Acomys_spinosissimus,976.5431477192659
Acomys_subspinosus,1499.5007587143898
Acomys_wilsoni,1173.0373880793143
Aconaemys_fuscus,4183.9432283171745
Aconaemys_porteri,3776.1636421767093
Aconaemys_sagei,3876.5684577601596
Acratocnus_odontrigonus,1402.1798648606475
Acratocnus_ye,1386.7172143233524
Acrobates_pygmaeus,440.65840757409165
Addax_nasomaculatus,937.5389982429078
Aegialomys_galapagoensis,1262.1343805709848
Aegialomys_xanthaeolus,1098.4196835421985
Aepeomys_lugens,844.3755859207602
Aepeomys_reigi,835.3660067464679
Aepyceros_melampus,1305.2873696190502
Aepyprymnus_rufescens,798.5341269433181
Aeretes_melanopterus,804.5353764069577
Aeromys_tephromelas,868.7893197752489
Aeromys_thomasi,916.4419185871733
Aethomys_bocagei,1077.404896054408
Aethomys_chrysophilus,858.3682630507391
Aethomys_granti,928.4447427703636
Aethomys_hindei,1223.3382384516349
Aethomys_ineptus,1005.0978648299248
Aethomys_kaiseri,1047.404738682593
Aethomys_namaquensis,1001.5356240584088
Aethomys_nyikae,1011.1637399510499
Aethomys_silindensis,1076.3332501631246
Aethomys_stannarius,1076.0616719540046
Aethomys_thomasi,1060.503080910976
Agalmaceros_blicki,1127.02992179365
Ailuropoda_melanoleuca,37.55842974199578
Ailurops_melanotis,2390.7236315778837
Ailurops_ursinus,2599.8274154795017
Ailurus_fulgens,52.04515748533523
Akodon_aerosus,1278.9348949464609
Akodon_affinis,1076.91611353196
Akodon_albiventer,1051.835293302958
Akodon_aliquantulus,1095.923245082927
Akodon_azarae,1413.153348579663
Akodon_boliviensis,1247.5261354868157
Akodon_budini,1095.8459726664246
Akodon_cursor,1227.371693024843
Akodon_dayi,1131.5478672578238
Akodon_dolores,1242.7276132110755
Akodon_fumeus,1209.1506998219302
Akodon_iniscatus,1105.5032653030075
Akodon_juninensis,1345.8581275784863
Akodon_kofordi,1265.8462704648634
Akodon_leucolimnaeus,1259.0960987477026
Akodon_lindberghi,1135.595588059946
Akodon_lutescens,1174.8231399480915
Akodon_mimus,1064.769322092309
Akodon_molinae,1145.8126593276352
Akodon_mollis,1129.287460825061
Akodon_montensis,1322.4589540833615
Akodon_mystax,1107.31323634141
Akodon_neocenus,1195.463054274313
Akodon_oenos,1095.684588295526
Akodon_orophilus,1187.258542285389
Akodon_paranaensis,1291.4340217522074
Akodon_pervalens,1446.5505810230813
Akodon_philipmyersi,1065.474981897282
Akodon_reigi,1302.9822572737162
Akodon_sanctipaulensis,1176.0202461521958
Akodon_serrensis,1064.8496279049846
Akodon_siberiae,1154.1776360553133
Akodon_simulator,1200.573755855762
Akodon_spegazzinii,1259.2779854484752
Akodon_subfuscus,1258.1482812397928
Akodon_surdus,1260.9283509990985
Akodon_sylvanus,1330.0601905240521
Akodon_toba,1249.644425080791
Akodon_torques,1183.9395665740426
Akodon_varius,1189.3167928472456
Alcelaphus_buselaphus,1476.4981419694611
Alces_alces,1205.8826681203388
Allactaga_balikunica,977.1313162613479
Allactaga_bullata,1006.2903292959462
Allactaga_elater,950.6848368882889
Allactaga_euphratica,953.1009446602492
Allactaga_firouzi,1037.2396676526419
Allactaga_hotsoni,983.5876827179244
Allactaga_major,1322.1275248562984
Allactaga_severtzovi,1140.6052833194458
Allactaga_sibirica,1027.916958214638
Allactaga_tetradactyla,899.6498725017916
Allactaga_vinogradovi,982.4630410631815
Allactaga_williamsi,1025.1755758822214
Allactodipus_bobrinskii,1020.3332960127608
Allenopithecus_nigroviridis,699.9263123610069
Allocebus_trichotis,498.43176074746174
Allochrocebus_lhoesti,552.223363536617
Allochrocebus_preussi,588.7523467254042
Allochrocebus_solatus,658.7962959208868
Allocricetulus_curtatus,768.7443424416213
Allocricetulus_eversmanni,913.0435747106287
Alouatta_arctoidea,1132.6126665914335
Alouatta_belzebul,998.0450382445063
Alouatta_caraya,1289.1436244751671
Alouatta_discolor,989.3971083166
Alouatta_guariba,1250.7261519348624
Alouatta_macconnelli,1191.4204629137157
Alouatta_nigerrima,1047.9903339672915
Alouatta_palliata,1021.1547034215821
Alouatta_pigra,838.3402022129471
Alouatta_sara,1179.2782120225108
Alouatta_seniculus,1199.7871212883006
Alouatta_ululata,1009.2577164816728
Alticola_albicaudus,3480.2359938012896
Alticola_argentatus,3663.928864878223
Alticola_barakshin,3574.3647794276576
Alticola_lemminus,3065.863697320354
Alticola_macrotis,3591.164075472609
Alticola_montosa,3203.3868008778427
Alticola_olchonensis,3530.2253789886117
Alticola_roylei,3654.0597772686124
Alticola_semicanus,3829.603719017308
Alticola_stoliczkanus,3398.9144275386984
Alticola_strelzowi,3776.0704237334294
Alticola_tuvinicus,3514.171900414839
Amblyrhiza_inundata,6916.110966252599
Amblysomus_corriae,599.1163209574307
Amblysomus_hottentotus,633.7053015681771
Amblysomus_marleyi,556.5599495836825
Amblysomus_robustus,598.011523832222
Amblysomus_septentrionalis,619.7442838627514
Ammodillus_imbellis,856.2773251200689
Ammodorcas_clarkei,371.7307579408637
Ammospermophilus_harrisii,406.26411038747875
Ammospermophilus_interpres,522.6245164674062
Ammospermophilus_leucurus,357.30958888040703
Ammospermophilus_nelsoni,508.4783792553046
Ammotragus_lervia,530.4271401502846
Amphinectomys_savamis,1135.2892834873476
Anathana_ellioti,975.589436548799
Andalgalomys_olrogi,820.9289846492451
Andalgalomys_pearsoni,792.1674502365232
Andinomys_edax,901.93612385627
Anisomys_imitator,1570.424642993657
Anomalurus_beecrofti,298.9997697001597
Anomalurus_derbianus,368.1500234212291
Anomalurus_pelii,379.78925314673097
Anomalurus_pusillus,135.52191615320717
Anonymomys_mindorensis,974.7586814405144
Anotomys_leander,1101.2304323579376
Anourosorex_assamensis,592.6084978582039
Anourosorex_schmidi,625.8823200938534
Anourosorex_squamipes,489.7198483495768
Anourosorex_yamashinai,497.9599657571098
Antechinomys_laniger,185.72975132281152
Antechinus_adustus,317.7471418254875
Antechinus_agilis,329.8118113033843
Antechinus_bellus,326.2107099301106
Antechinus_flavipes,371.49066987710665
Antechinus_godmani,219.78660876931949
Antechinus_leo,364.6991985352283
Antechinus_minimus,521.008795504354
Antechinus_stuartii,323.74125731879633
Antechinus_subtropicus,331.8143351433199
Antechinus_swainsonii,546.9835752772237
Antidorcas_australis,508.7040463616988
Antidorcas_bondi,490.564323292283
Antidorcas_marsupialis,541.8598033314282
Antifer_ultra,1213.7181985775603
Antillomys_rayi,1184.897519396584
Antillothrix_bernensis,321.7936192546146
Antilocapra_americana,564.4891538805877
Antilope_cervicapra,459.8261556316255
Aonyx_capensis,91.62605999322872
Aonyx_cinereus,66.95708013706664
Aonyx_congicus,97.91243087726352
Aotus_azarae,279.83550733683103
Aotus_brumbacki,273.2462470569367
Aotus_griseimembra,309.7635675390863
Aotus_jorgehernandezi,292.7197303570571
Aotus_lemurinus,314.57542523441043
Aotus_miconax,295.84368993705147
Aotus_nancymaae,287.2642442583724
Aotus_nigriceps,351.326378345663
Aotus_trivirgatus,304.11660732779785
Aotus_vociferans,305.1492063809616
Aotus_zonalis,296.55133419772363
Aplodontia_rufa,8327.00521379469
Apodemus_agrarius,1380.8278448023314
Apodemus_alpicola,1494.198832935803
Apodemus_argenteus,1331.0879123006318
Apodemus_avicennicus,1456.0489769549306
Apodemus_chevrieri,1490.8261094177271
Apodemus_draco,1317.6813174142196
Apodemus_epimelas,1501.1136382326945
Apodemus_flavicollis,1694.6827120716378
Apodemus_gurkha,1428.1508612760836
Apodemus_hyrcanicus,1489.5623432854707
Apodemus_latronum,1430.8330582886938
Apodemus_mystacinus,1491.997676933153
Apodemus_pallipes,1415.5205804087966
Apodemus_peninsulae,1407.2148125968367
Apodemus_ponticus,1592.617724886616
