Binomial.1.2,Q
Abditomys_latidens,2745.245876160981
Abeomelomys_sevia,1292.760233994707
Abrawayaomys_ruschii,1079.1617649934558
Abrocoma_bennettii,1539.7341626450611
Abrocoma_boliviensis,2164.4636301103483
Abrocoma_budini,2585.885762156296
Abrocoma_cinerea,2445.6788155821832
Abrocoma_famatina,2439.524259679194
Abrocoma_shistacea,2512.3632975385735
Abrocoma_uspallata,2333.674359851921
Abrocoma_vaccarum,2438.3388996098656
Abrothrix_andinus,1098.9519439545236
Abrothrix_illutea,1274.2756504609902
Abrothrix_jelskii,1152.5418065464107
Abrothrix_lanosus,1143.354450157661
Abrothrix_longipilis,1314.0287865484981
Abrothrix_olivaceus,1254.14710826704
Abrothrix_sanborni,1106.805452213376
Acinonyx_jubatus,13.509603317692108
Acomys_airensis,1804.0289448480141
Acomys_cahirinus,1836.6371625892803
Acomys_cilicicus,1737.4875427652619
Acomys_cineraceus,1512.6157601341483
Acomys_dimidiatus,1711.194580997645
Acomys_ignitus,1540.4430465925116
Acomys_johannis,1480.4808416169906
Acomys_kempi,1439.9108288926232
Acomys_louisae,1273.4422030457206
Acomys_minous,1868.7159985511437
Acomys_mullah,1541.3023017992693
Acomys_nesiotes,1830.702646984455
Acomys_percivali,1425.491449629852
Acomys_russatus,1846.9855750385989
Acomys_seurati,1944.4618544828716
Acomys_spinosissimus,1051.5052387520077
Acomys_subspinosus,1560.656767360487
Acomys_wilsoni,1391.5437177426743
Aconaemys_fuscus,6062.166684221516
Aconaemys_porteri,5665.774316039164
Aconaemys_sagei,5661.452704992227
Acratocnus_odontrigonus,2472.095781141306
Acratocnus_ye,2451.53278820313
Acrobates_pygmaeus,627.5756660112789
Addax_nasomaculatus,1150.5639066180167
Aegialomys_galapagoensis,1347.632050480698
Aegialomys_xanthaeolus,1186.8781605128024
Aepeomys_lugens,1092.839260978394
Aepeomys_reigi,1124.964409176719
Aepyceros_melampus,1698.6641236225194
Aepyprymnus_rufescens,951.3299830295015
Aeretes_melanopterus,1372.1790865816306
Aeromys_tephromelas,1459.6219888312978
Aeromys_thomasi,1553.379735137302
Aethomys_bocagei,1232.6544714695322
Aethomys_chrysophilus,946.9057511208468
Aethomys_granti,1033.0023200789274
Aethomys_hindei,1355.581018827317
Aethomys_ineptus,1151.0888703209157
Aethomys_kaiseri,1180.224419210915
Aethomys_namaquensis,1106.8076040041772
Aethomys_nyikae,1147.2264692596575
Aethomys_silindensis,1222.1841767829062
Aethomys_stannarius,1217.5962288223525
Aethomys_thomasi,1225.6080213415412
Agalmaceros_blicki,1495.0444956670333
Ailuropoda_melanoleuca,48.200565704427554
Ailurops_melanotis,4328.018943583563
Ailurops_ursinus,4663.941446740041
Ailurus_fulgens,94.91291126872474
Akodon_aerosus,1533.9068264325103
Akodon_affinis,1300.4664901615524
Akodon_albiventer,1268.2043420400707
Akodon_aliquantulus,1285.4911360265712
Akodon_azarae,1602.9981340797424
Akodon_boliviensis,1451.0474689609266
Akodon_budini,1337.0980510605195
Akodon_cursor,1386.1034467072895
Akodon_dayi,1376.5107467825208
Akodon_dolores,1492.4624753608252
Akodon_fumeus,1401.5007760375038
Akodon_iniscatus,1336.834563354542
Akodon_juninensis,1559.2082974293542
Akodon_kofordi,1476.7793962565845
Akodon_leucolimnaeus,1464.4793077286458
Akodon_lindberghi,1360.2469154077676
Akodon_lutescens,1378.8086279032518
Akodon_mimus,1306.628199235583
Akodon_molinae,1369.5508189165807
Akodon_mollis,1351.6270334790281
Akodon_montensis,1522.6362300101246
Akodon_mystax,1306.6823555259368
Akodon_neocenus,1437.607256624837
Akodon_oenos,1318.7232126430315
Akodon_orophilus,1422.9401833545116
Akodon_paranaensis,1513.4699727788861
Akodon_pervalens,1694.012571890017
Akodon_philipmyersi,1287.3813215408252
Akodon_reigi,1514.5497857694097
Akodon_sanctipaulensis,1389.6795469642354
Akodon_serrensis,1316.1450056548763
Akodon_siberiae,1393.5458201388778
Akodon_simulator,1447.9595225716225
Akodon_spegazzinii,1467.7785392204657
Akodon_subfuscus,1479.3788015422026
Akodon_surdus,1509.3950653018837
Akodon_sylvanus,1552.826466872898
Akodon_toba,1486.537752724685
Akodon_torques,1420.1411653713294
Akodon_varius,1432.6973575600152
Alcelaphus_buselaphus,1734.8884718556455
Alces_alces,1520.8874011284981
Allactaga_balikunica,2406.39998501245
Allactaga_bullata,2434.331906253553
Allactaga_elater,2337.1443790317026
Allactaga_euphratica,2417.1107889358846
Allactaga_firouzi,2577.1980800695146
Allactaga_hotsoni,2478.8690652204864
Allactaga_major,3333.431428285618
Allactaga_severtzovi,2815.7686368396553
Allactaga_sibirica,2524.573335310969
Allactaga_tetradactyla,2253.601832326092
Allactaga_vinogradovi,2422.189787921244
Allactaga_williamsi,2534.505277420251
Allactodipus_bobrinskii,2450.686891212386
