Binomial.1.2,Q
Abditomys_latidens,2680.83360997974
Abeomelomys_sevia,1038.656110847253
Abrawayaomys_ruschii,854.6766313797959
Abrocoma_bennettii,1256.843708554894
Abrocoma_boliviensis,1435.7523981036088
Abrocoma_budini,1761.0029089437267
Abrocoma_cinerea,1659.3377578891495
Abrocoma_famatina,1643.6972908632779
Abrocoma_shistacea,1637.1205910737606
Abrocoma_uspallata,1557.3542568698592
Abrocoma_vaccarum,1639.4571171120574
Abrothrix_andinus,1034.2487446405407
Abrothrix_illutea,1183.8063502477928
Abrothrix_jelskii,1044.6134920965912
Abrothrix_lanosus,1028.795659868781
Abrothrix_longipilis,1221.7308094856166
Abrothrix_olivaceus,1202.078909558614
Abrothrix_sanborni,1010.4986579000438
Acinonyx_jubatus,11.769784327491555
Acomys_airensis,1555.9182059750942
Acomys_cahirinus,1594.9030125887512
Acomys_cilicicus,1478.1661854337365
Acomys_cineraceus,1257.308193333675
Acomys_dimidiatus,1468.5396519046446
Acomys_ignitus,1296.6908062598102
Acomys_johannis,1245.2812181383888
Acomys_kempi,1197.2018385060037
Acomys_louisae,999.4164208045496
Acomys_minous,1591.2956136302798
Acomys_mullah,1323.6863875710494
Acomys_nesiotes,1552.72737422035
Acomys_percivali,1192.3641509368583
Acomys_russatus,1589.8128159489713
Acomys_seurati,1662.7964035765744
Acomys_spinosissimus,993.4138736664265
Acomys_subspinosus,1497.9782034616421
Acomys_wilsoni,1171.5192988029364
Aconaemys_fuscus,4122.673280674551
Aconaemys_porteri,3683.488750120719
Aconaemys_sagei,3806.583161224905
Acratocnus_odontrigonus,1373.6724124757616
Acratocnus_ye,1358.695986208159
Acrobates_pygmaeus,438.99778866828376
Addax_nasomaculatus,926.3913680467047
Aegialomys_galapagoensis,1319.255623156396
Aegialomys_xanthaeolus,1145.157901765258
Aepeomys_lugens,854.5140385083644
Aepeomys_reigi,866.6772278572661
Aepyceros_melampus,1309.5069151173013
Aepyprymnus_rufescens,789.4159640645005
Aeretes_melanopterus,838.9805120665552
Aeromys_tephromelas,885.9225518777087
Aeromys_thomasi,944.8409030252602
Aethomys_bocagei,1079.759806903248
Aethomys_chrysophilus,860.3894898925885
Aethomys_granti,919.1697775768915
Aethomys_hindei,1231.4849767535022
Aethomys_ineptus,1004.862739640353
Aethomys_kaiseri,1052.8875766851838
Aethomys_namaquensis,1011.3986279164719
Aethomys_nyikae,1017.046264030862
Aethomys_silindensis,1085.1056861431612
Aethomys_stannarius,1086.4743142643722
Aethomys_thomasi,1085.0065004912544
Agalmaceros_blicki,1092.0898652775484
Ailuropoda_melanoleuca,38.107651162355424
Ailurops_melanotis,2343.677306721726
Ailurops_ursinus,2554.9712288786677
Ailurus_fulgens,53.201557781728425
Akodon_aerosus,1314.7094265985227
Akodon_affinis,1103.9423582787178
Akodon_albiventer,1072.0829715285538
Akodon_aliquantulus,1117.46881860343
Akodon_azarae,1446.367106178691
Akodon_boliviensis,1274.382333979276
Akodon_budini,1111.073758751491
Akodon_cursor,1238.761073248786
Akodon_dayi,1155.948384149824
Akodon_dolores,1264.6090699259635
Akodon_fumeus,1244.224818648747
Akodon_iniscatus,1101.7516997802688
Akodon_juninensis,1365.7315588960375
Akodon_kofordi,1298.8034594865424
Akodon_leucolimnaeus,1292.7247445811197
Akodon_lindberghi,1130.898201268657
Akodon_lutescens,1210.6838113556437
Akodon_mimus,1101.0828623681675
Akodon_molinae,1159.8742631595003
Akodon_mollis,1143.7570958614135
Akodon_montensis,1339.5724645046057
Akodon_mystax,1126.7342648804538
Akodon_neocenus,1215.6440492491004
Akodon_oenos,1101.5368810835748
Akodon_orophilus,1193.4634496732274
Akodon_paranaensis,1305.9082038946724
Akodon_pervalens,1494.6524559265822
Akodon_philipmyersi,1097.2995000156945
Akodon_reigi,1314.9549172245452
Akodon_sanctipaulensis,1193.5780819997929
Akodon_serrensis,1075.031053849031
Akodon_siberiae,1184.5677487974663
Akodon_simulator,1209.327702848245
Akodon_spegazzinii,1292.215926331072
Akodon_subfuscus,1312.0182757659297
Akodon_surdus,1289.095082104354
Akodon_sylvanus,1374.0520762301708
Akodon_toba,1262.6818867126954
Akodon_torques,1201.683938920979
Akodon_varius,1200.9977133420605
Alcelaphus_buselaphus,1499.0246193658286
Alces_alces,1194.375728570284
Allactaga_balikunica,1027.666701911643
Allactaga_bullata,1069.9549331829403
Allactaga_elater,988.1839628983441
Allactaga_euphratica,1030.4273138070512
Allactaga_firouzi,1113.3893605541173
Allactaga_hotsoni,1069.8434391784347
Allactaga_major,1395.8053179198653
Allactaga_severtzovi,1224.716137204298
Allactaga_sibirica,1099.394929649445
Allactaga_tetradactyla,980.0269070090085
Allactaga_vinogradovi,1044.75244902897
Allactaga_williamsi,1104.3835741995654
Allactodipus_bobrinskii,1025.67343746282
Allenopithecus_nigroviridis,698.735227156671
Allocebus_trichotis,515.2732655497065
Allochrocebus_lhoesti,555.649472007866
Allochrocebus_preussi,581.5636071072042
Allochrocebus_solatus,659.0642392675329
Allocricetulus_curtatus,785.790320199291
Allocricetulus_eversmanni,921.7266579983958
Alouatta_arctoidea,1153.5199718702463
Alouatta_belzebul,963.116793538803
