Binomial.1.2,Q
Abditomys_latidens,3435.645783012889
Abeomelomys_sevia,1389.5507390248022
Abrawayaomys_ruschii,1157.6346826623349
Abrocoma_bennettii,1754.321999957359
Abrocoma_boliviensis,2526.451439555175
Abrocoma_budini,2922.9463933972424
Abrocoma_cinerea,2800.8882571521044
Abrocoma_famatina,2783.6545950866125
Abrocoma_shistacea,2847.766727042757
Abrocoma_uspallata,2677.427883373229
Abrocoma_vaccarum,2812.0931660548517
Abrothrix_andinus,1224.7772866486719
Abrothrix_illutea,1402.327043278436
Abrothrix_jelskii,1242.4114059391466
Abrothrix_lanosus,1247.722985382056
Abrothrix_longipilis,1447.7158874061395
Abrothrix_olivaceus,1393.7073946013998
Abrothrix_sanborni,1221.8985674769958
Acinonyx_jubatus,13.523487617728213
Acomys_airensis,1926.7297077228031
Acomys_cahirinus,1970.7467846237346
Acomys_cilicicus,1872.8152044085325
Acomys_cineraceus,1612.0675954399626
Acomys_dimidiatus,1812.9141595076255
Acomys_ignitus,1652.2002373849134
Acomys_johannis,1566.6889384230144
Acomys_kempi,1595.1508869509707
Acomys_louisae,1403.8803255315036
Acomys_minous,1998.2606929661263
Acomys_mullah,1665.7533459462804
Acomys_nesiotes,1953.5089657586834
Acomys_percivali,1587.9138007533122
Acomys_russatus,1973.2838702241575
Acomys_seurati,2062.1050996944105
Acomys_spinosissimus,1196.300471394914
Acomys_subspinosus,1833.4888068113955
Acomys_wilsoni,1532.7997161037088
Aconaemys_fuscus,6039.973290847482
Aconaemys_porteri,5524.6441476541895
Aconaemys_sagei,5666.365223671576
Acratocnus_odontrigonus,2396.9589443122577
Acratocnus_ye,2367.2378660465533
Acrobates_pygmaeus,673.8418267247336
Addax_nasomaculatus,1101.2289847654154
Aegialomys_galapagoensis,1439.4972822309223
Aegialomys_xanthaeolus,1257.53702458514
Aepeomys_lugens,1171.540109413386
Aepeomys_reigi,1175.7996855507458
Aepyceros_melampus,1632.2038767970798
Aepyprymnus_rufescens,993.1383301707774
Aeretes_melanopterus,1341.806004879397
Aeromys_tephromelas,1470.6635858221573
Aeromys_thomasi,1547.819368686724
Aethomys_bocagei,1269.9742428470151
