Binomial.1.2,Q.plant.kgC_yr_km2,Q.95.ci.low,Q.95.ci.high
Abditomys_latidens,2278.067880868485,468.31425938817307,8655.71603749407
Abeomelomys_sevia,703.98146138495,120.7144871488946,3447.5585239351726
Abrawayaomys_ruschii,740.0236058352175,146.50355022915585,3200.004728744106
Abrocoma_bennettii,1102.163482765685,211.14699783074948,5396.216571553364
Abrocoma_boliviensis,1321.9285833007016,166.64323358960056,11120.569277954224
Abrocoma_budini,1547.6602404730934,160.39206494548063,13212.687940410073
Abrocoma_cinerea,1482.5983667058454,147.9821013684355,12601.268385759682
Abrocoma_famatina,1394.4298821130742,166.16068159517775,12417.713308146853
Abrocoma_shistacea,1486.8888357365422,181.79334088846838,11815.347932878263
Abrocoma_uspallata,1372.8346062637604,180.73100753147875,12319.542835108601
Abrocoma_vaccarum,1497.2013928321562,168.75909356341958,12169.75127960903
Abrothrix_andinus,627.8028443838213,176.34462511535065,2499.8036418781853
Abrothrix_illutea,453.00907184477757,116.60764999393714,1793.6523115750408
Abrothrix_jelskii,637.1218847620705,164.22022393046163,2849.3654224012676
Abrothrix_lanosus,501.1903583471101,129.0862397972848,2005.882273681642
Abrothrix_longipilis,120.97725251654569,34.0468219224319,413.5343504179519
Abrothrix_olivaceus,114.91868837784081,34.66801690504467,485.3155038932037
Abrothrix_sanborni,397.5492729657482,108.20643901400531,1709.4404866232276
Acinonyx_jubatus,0,0,0
Acomys_airensis,0,0,0
Acomys_cahirinus,1028.0220698319438,250.33786561829518,4296.51697645677
Acomys_cilicicus,967.5334433474709,240.19725142004964,3936.3800633081723
Acomys_cineraceus,0,0,0
Acomys_dimidiatus,1080.9446290811263,266.30979535752573,4500.951231105584
Acomys_ignitus,833.3923083982341,179.69887272615713,3388.9826210312212
Acomys_johannis,0,0,0
Acomys_kempi,757.2592838743278,152.80760188333764,3524.9090258974916
Acomys_louisae,605.2252780709076,110.28215977985309,3075.08837869459
Acomys_minous,1040.4359078388131,269.68304426336044,4110.484934951262
Acomys_mullah,832.5780028565271,168.78858563315563,3282.2020451727467
Acomys_nesiotes,1007.6307728660581,255.4008548087864,4363.595397076199
Acomys_percivali,756.8119591680988,151.3582900585225,3301.0489702363675
Acomys_russatus,569.7376976093121,152.12980566253532,2302.4207560407194
Acomys_seurati,0,0,0
Acomys_spinosissimus,611.7259963849585,155.7965161206192,2191.0039763498917
Acomys_subspinosus,903.2468549696131,247.44718711775826,3684.1143768070497
Acomys_wilsoni,734.6235071411965,163.0798160785587,3782.2780959842403
Aconaemys_fuscus,4155.2592441037505,658.8125509986648,24003.039973607836
Aconaemys_porteri,3601.767213598275,562.5251741808457,23869.651747161657
Aconaemys_sagei,3879.6172262123764,700.8494720723098,22650.391906278324
Acratocnus_odontrigonus,1368.1084747213108,170.58147034880537,11735.781708546372
Acratocnus_ye,1368.0241271411326,174.27129283582238,12659.649547332981
Acrobates_pygmaeus,87.09807196527014,13.897794258358056,563.1599427853721
Addax_nasomaculatus,955.5973259449327,301.6888808216274,3391.7075163221143
Aegialomys_galapagoensis,935.9602411579066,321.31784394403957,3196.127718052233
Aegialomys_xanthaeolus,802.0092894530853,286.30267728003747,2893.312237321853
Aepeomys_lugens,755.7266614685487,147.28597116753122,3729.880220785193
Aepeomys_reigi,818.8335145812783,167.00004420984797,4346.977264294432
Aepyceros_melampus,1327.9106232778895,327.9587121827415,5072.197970172472
Aepyprymnus_rufescens,772.9788357333464,222.78166126696811,2876.423710537126
Aeretes_melanopterus,758.5971280543698,99.9859372652622,5822.54817680818
Aeromys_tephromelas,742.5157193757686,84.9876471143511,6503.265180711021
Aeromys_thomasi,802.0866403567946,104.95254970476462,7239.093758317801
Aethomys_bocagei,1037.6752190181483,283.9434219341083,3444.856916835087
Aethomys_chrysophilus,809.6634511249432,234.85785165252534,2578.994639340038
Aethomys_granti,837.903944838623,240.04724880303027,2918.701384596611
Aethomys_hindei,1131.8846924670288,383.21864017370604,3535.3572320801723
Aethomys_ineptus,772.4149648165953,212.09197873658348,2626.6295548185153
Aethomys_kaiseri,1014.3537783541062,298.7916355213269,3573.0952911118525
Aethomys_namaquensis,761.6586204474524,234.01873763361772,2557.727790953552
Aethomys_nyikae,962.9239794710867,252.88150575561968,3304.9855765644406
Aethomys_silindensis,1040.8655102518198,294.7257148058047,3528.363509088476
Aethomys_stannarius,1031.1256959159437,298.71703240547646,3516.3506275594436
Aethomys_thomasi,1035.5251110545305,305.63551669262546,3779.68416561056
Agalmaceros_blicki,1086.7721651572924,278.8694002501609,5015.8978195105165
Ailuropoda_melanoleuca,35.10077863633538,6.77734096259577,183.55780450754784
Ailurops_melanotis,1941.4685896654087,252.40522036794434,17681.575779183386
Ailurops_ursinus,2212.2019243750037,289.77107734869423,20724.53251174353
Ailurus_fulgens,39.07242666631407,3.1575848865935567,367.01212989081023
Akodon_aerosus,250.92658272172162,52.2808975382629,1039.3265118722088
Akodon_affinis,209.49544566292818,46.537344760963286,857.2264022370088
Akodon_albiventer,201.40736976182146,45.59217859044196,853.5531605439932
Akodon_aliquantulus,0,0,0
Akodon_azarae,261.09829427272797,72.55329618915297,1014.1603310254927
Akodon_boliviensis,242.47816329789856,61.92909190621086,1003.8640543990848
Akodon_budini,210.41189243010143,45.86485775816722,895.3402404928772
Akodon_cursor,228.41163891304603,70.63938707739243,831.1555394123118
Akodon_dayi,223.0247948599046,51.31055818254667,970.6172336863004
Akodon_dolores,240.7986248430989,55.178435628109106,1022.0026391269462
Akodon_fumeus,234.7210951084348,60.208290879325105,891.3098287192239
Akodon_iniscatus,206.2217415434057,45.4071394415801,1009.3201897612682
Akodon_juninensis,257.0988481680795,66.34508520705938,978.9171345379261
Akodon_kofordi,241.54779184292065,62.188895020623185,949.0140984625033
Akodon_leucolimnaeus,237.52755204784785,64.04933515417774,1058.4221414666688
Akodon_lindberghi,209.44340598221734,55.051570580234184,826.8769174204077
Akodon_lutescens,225.97531147324497,55.425927083663666,899.4350915784115
Akodon_mimus,220.33580471188733,47.61886941443838,879.1760878993574
Akodon_molinae,216.60349019997284,55.260802471120144,970.6147376964676
Akodon_mollis,217.11702536910133,48.75130685096111,867.9313762005777
Akodon_montensis,257.54279919929974,71.25106702106899,1106.927029213438
Akodon_mystax,209.43309358185587,59.24174583312612,840.5457568457482
Akodon_neocenus,226.23978929205464,56.921070538078226,1042.8068294921527
Akodon_oenos,215.17153009037793,47.71804834016312,874.2426630277421
Akodon_orophilus,232.6743872543572,50.52120504931052,959.2298682996437
Akodon_paranaensis,254.40891967167863,69.85208698753743,1035.5946387961276
Akodon_pervalens,278.8365293217472,73.96553884231179,1074.130161439716
Akodon_philipmyersi,227.9144803997934,53.911889728189564,975.9707935205553
Akodon_reigi,259.94586800645266,64.24675164002785,1025.1936701565637
Akodon_sanctipaulensis,229.9971007886251,55.710854445288966,865.2041288220607
Akodon_serrensis,210.71733067147835,51.66571586035917,873.8949469004701
Akodon_siberiae,223.53815282092143,52.933598108550534,890.0545673825815
Akodon_simulator,227.812705359875,54.562255284907366,955.2632204030707
Akodon_spegazzinii,244.50641970910436,62.69427396922933,1011.8344245164329
Akodon_subfuscus,247.2646345305319,61.84934105615922,940.898358308943
Akodon_surdus,242.2243314282197,62.26087955452521,995.6508145913945
Akodon_sylvanus,258.6275320958571,61.44678279347764,1005.0972445076513
Akodon_toba,239.20346352251818,60.641282714554556,1009.7612069514871
Akodon_torques,228.78754035002356,47.98832747587134,940.4102964969088
Akodon_varius,227.59897940174997,54.601889557469896,964.4897809860938
Alcelaphus_buselaphus,1490.6594688188206,485.20518982779873,4796.248243979779
Alces_alces,1262.3532644059253,278.67999849074084,4620.73344769927
Allactaga_balikunica,647.6835631645409,44.375273965823915,11985.032849867197
Allactaga_bullata,719.3932660069684,44.93203324512514,11404.08488975645
Allactaga_elater,689.6206499791465,39.043893683207024,14574.47066674612
Allactaga_euphratica,686.5541994088204,40.603230719986726,12226.290972646502
Allactaga_firouzi,787.5926601710983,41.15005232798182,14855.986012862888
Allactaga_hotsoni,806.9864739920747,40.64721616092886,13582.863394752942
Allactaga_major,1023.0715848859978,48.163499589637084,16820.14492733097
Allactaga_severtzovi,861.4180840853867,47.38499919817825,16016.146216733823
Allactaga_sibirica,271.6533694978967,17.04440123984848,4744.002700757828
Allactaga_tetradactyla,685.4632599701558,33.44488409763968,13049.470347955581
Allactaga_vinogradovi,772.6287547461258,36.46866759585082,13124.254063252441
Allactaga_williamsi,935.1422955093985,60.103623791638526,18827.206040101733
Allactodipus_bobrinskii,724.3725319852211,43.52012653009748,14575.306394764686
Allenopithecus_nigroviridis,319.6699825535841,83.61556472823038,1422.9450945103222
Allocebus_trichotis,487.2260756128382,78.0364420738054,3261.6866206392865
Allochrocebus_lhoesti,479.8927459777117,146.223034207439,1611.4245015740328
Allochrocebus_preussi,488.497437512244,147.8178403074808,1813.9465123713805
Allochrocebus_solatus,567.4976574100649,158.4974433578297,2121.672377569037
Allocricetulus_curtatus,668.675777520404,111.62150666716839,3495.1310488198565
Allocricetulus_eversmanni,677.0758714995841,123.8904748883808,3905.1114091426716
Alouatta_arctoidea,1053.085924870765,278.1669783216286,4283.291712706451
Alouatta_belzebul,917.3809399634417,229.63650870143886,3175.500169226876
Alouatta_caraya,1192.849719172516,328.2419971078409,4575.581106213405
Alouatta_discolor,933.5905849206181,216.0658040064999,3971.716551622573
Alouatta_guariba,1201.880112423574,297.54828270321894,4273.353139984772
Alouatta_macconnelli,1126.4650954239924,262.60396362744376,4653.882013662354
Alouatta_nigerrima,993.1122643323728,247.03993743034994,3832.0642132560815
Alouatta_palliata,994.3729641399395,260.5989743603893,3613.7253980205887
Alouatta_pigra,824.2462412080215,212.209520263929,3064.833523805474
Alouatta_sara,1080.6202717339415,265.9473813939828,4567.399843647052
Alouatta_seniculus,1127.1558691298592,287.30456864739085,4220.974912918875
Alouatta_ululata,960.9650330671639,228.3460162213673,3574.1628492256796
Alticola_albicaudus,3250.4006112791567,905.5329574397318,14052.21811371284
Alticola_argentatus,3301.3674515840066,1027.5147365019272,13941.659042610378
Alticola_barakshin,3397.7896740668757,942.0068707522754,12033.91715008297
Alticola_lemminus,2845.2724923870846,664.0010542711221,10812.154491517138
Alticola_macrotis,3303.917565872628,912.7761022149439,14755.643381915868
Alticola_montosa,2966.9724073816815,807.5909272709888,12970.248570071424
Alticola_olchonensis,3282.479893380821,907.3732534622914,12352.558561884513
Alticola_roylei,3284.2989397178094,895.8862347177849,13807.239785965094
Alticola_semicanus,3703.616399399974,1026.1967173183928,14602.04787534625
Alticola_stoliczkanus,3182.2231529104547,831.0645818868231,11763.141016704569
Alticola_strelzowi,3537.502156168557,911.1121681482205,13053.01751510175
Alticola_tuvinicus,3290.98511616811,970.6580238903933,12233.196838180776
Amblyrhiza_inundata,5431.080354522794,631.7164496350497,40653.15284533878
Amblysomus_corriae,0,0,0
Amblysomus_hottentotus,0,0,0
Amblysomus_marleyi,0,0,0
Amblysomus_robustus,0,0,0
Amblysomus_septentrionalis,0,0,0
Ammodillus_imbellis,543.9390849489151,93.97873958195346,2881.4048160287853
Ammodorcas_clarkei,402.1426006838701,133.3892983434603,1228.5290329770064
Ammospermophilus_harrisii,274.63656770786685,53.00335520580593,1313.1227483770026
Ammospermophilus_interpres,355.2575153615503,59.7546498156645,1856.1256434245263
Ammospermophilus_leucurus,240.06335454482442,49.242167904733115,1096.0814791586438
Ammospermophilus_nelsoni,341.94427691894447,62.53175418571537,1636.881181344762
Ammotragus_lervia,627.4684563342646,188.42666172920698,2044.3832025680065
Amphinectomys_savamis,568.155473285513,174.0249244372601,1981.0868234510065
Anathana_ellioti,178.8461497809831,12.806561381232568,2959.621131963847
Andalgalomys_olrogi,682.0935860165096,178.25195400844882,2798.569679197317
Andalgalomys_pearsoni,636.2387342964649,172.70357309576215,2516.1371561159485
Andinomys_edax,826.0215763594285,186.96386234484402,3751.7911944173907
Anisomys_imitator,1405.3062834819395,284.91398616589026,7921.4351227733205
Anomalurus_beecrofti,217.45297745635796,21.522407009650543,2569.0209220627494
Anomalurus_derbianus,293.6906529345873,39.91613819844858,2104.2265553291045
Anomalurus_pelii,294.805230999873,30.25397651225437,3820.0677510488895
Anomalurus_pusillus,112.90276724757224,17.60151559041748,722.383233090328
Anonymomys_mindorensis,485.2331551050065,89.1401086272083,2319.0105407749807
Anotomys_leander,0,0,0
Anourosorex_assamensis,6.217959310933524,0.8018734341652579,51.75875186223528
Anourosorex_schmidi,6.63272821948483,0.7774664368877688,50.43664006981675
Anourosorex_squamipes,0,0,0
Anourosorex_yamashinai,5.579782253106807,0.65405231242177,40.537763371233844
Antechinomys_laniger,0,0,0
Antechinus_adustus,0,0,0
Antechinus_agilis,30.296544423707193,9.111980710849275,96.60588059048591
Antechinus_bellus,0,0,0
Antechinus_flavipes,0,0,0
Antechinus_godmani,0,0,0
Antechinus_leo,0,0,0
Antechinus_minimus,0,0,0
Antechinus_stuartii,0,0,0
Antechinus_subtropicus,0,0,0
Antechinus_swainsonii,0,0,0
Antidorcas_australis,568.3973536349106,180.41878249925057,1776.1006151825554
Antidorcas_bondi,528.5713098300184,163.42634709157304,1645.1835405562574
Antidorcas_marsupialis,582.1583679974257,181.97387439032727,1836.1334246755678
