Name_Ecosystem;Name_Ecosystem_new;Continent;Lat;Long;TotalHerbivoreBiomass_kgkm2;20kg_TotalHerbivoreBiomass_kgkm2;Year;Megafauna;Wolf_exploited;Livestock;Migrating_ecosystems;Source;Original_references;Note
Akagera National Park;Akagera;Africa;-1.6280468;30.7620862;10895;NA;NA;NA;NA;0;NA;Rodriguez et al. 2014;Montfort_(1972);Not included in Hatton, estimates from ground count
Amboseli_Game_Reserve;Ambolesi;Africa;-2.39;37.15;7804;NA;;NA;NA;3483;NA;Rodriguez et al. 2014;"Western_(1973);Coe_et_al._(1976)";Not included in Hatton. Coe is one of the references, but livestock added.
Amboseli National Park Kenya;Ambolesi;Africa;-2.6787;37.29793;14191.80128;14157.27103;2007;7077.179487;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Arli National Park;Arli;Africa;11.57;1.41;2000;NA;;NA;NA;0;NA;Rodriguez et al. 2014;"Milligan_et_al._(1982);_Payne_and_Andau_(1991)";Not included in Hatton
Borgu National Park (Kainji Lake);Borgu;Africa;10.07;4.12;1200;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Milligan_et_al._(1982);Not included in Hatton
Samburu--Isiolo;Buffalo Springs;Africa;0.5293964;37.559285;2018;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Not included in Hatton. (well, yes, but not included in the data we use from Hatton)
Bunyoro_North;Bunyoro;Africa;1.57;31.3;13261;NA;1969;NA;NA;0;NA;Rodriguez et al. 2014;"Laws_(1970);_Coe_et_al._(1976)";Not included in Hatton
Chobe NationalPark;Chobe;Africa;41;24.08;3000;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Viljoen_(1993);Excluded. Included in Hatton. GPS coordinates were wrong and moved to Botswana.
Savuti area of Chobe National Park Botswana;Chobe;Africa;-18.8657722;24.0790636;3552.233333;3552.05;1991;3340;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Savuti area of Chobe National Park Botswana;Chobe;Africa;-18.8605935;24.0790638;5155.523333;5155.34;1991;3137.5;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Etosha National Park Namibia;Etosha;Africa;-19.2201099;16.6581636;161.2723851;157.0810811;1926;2.830405405;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Etosha National Park Namibia;Etosha;Africa;-19.2174937;16.6581669;650.8015356;650.7332924;1998;411.7045455;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Gonarezhou National Park Zimbabwe;Gonarezhou;Africa;-21.6102771;31.9101512;5646.89527;5645.594103;2009;5166.554522;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Henderson's_ranch;Henderson's Ranch;Africa;-22.04;29.42;2869;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Coe_et_al._(1976);Excluded. Meat production game reserve. Cannot confirm location as we have no access to original source.
Hluhluwe iMfolozi National Park South Africa;Hluhluwe iMfolozi;Africa;-28.2755;31.92024;5940.644792;5906.623958;1982;2434.53125;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Hluhluwe iMfolozi National Park South Africa;Hluhluwe iMfolozi;Africa;-28.2755;31.92024;9244.316864;9208.040822;2000;3948.776076;0;NA;NA;Hatton et al. 2014;Please see Hatton et al. 2014 for the full list of references;
Umfolosi;Hluhluwe iMfolozi;Africa;-28.29;31.8;8016;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Mentis_(1970);Not included in Hatton
Hwange National Park;Hwange;Africa;-19;26.5;7211;NA;;NA;NA;0;NA;Rodriguez et al. 2014;Valeix_et_al._(2007);Not included in Hatton
