reference	community type	ecosystem type	NPP (gC m-2 y-1)	leaf P (gC m-2 y-1)	DP (gCm-2 yr-1)	leaf DP (gC m-2 yr-1)	D (gC m-2 y-1)	DB (gC m-2)	H (gC m-2 y-1)	%NPP consumed	HB (gC m-2)	TC (gC m-2 y-1)	CA  (gC m-2 y-1)	Nbiomass (%DW)	Pbiomass (%DW)	k (day-1)	Ndetritus (%DW)	Pdetritus (%DW)	Ndp(%DW)	Pdp(%DW)
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.098000	4.950000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.098000	8.940000	0.388000	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.052800	4.340000	0.602000	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.066000	4.440000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.036000	4.190000	0.800000	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.036000	4.190000	0.800000	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.047000	4.200000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.068000	3.940000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.027000	5.630000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.056000	5.430000	.	.	.
Aizaki and Takamura 1991	communities of freshwater phytoplankton	aquatic	.	.	.	.	.	.	.	.	.	.	.	.	.	0.036000	4.280000	.	.	.
"Arndt et al. 1993, Behrendt 1990"	communities of freshwater phytoplankton	aquatic	204.400000	.	51.100000	.	.	.	153.300000	75.000000	.	.	.	6.300000	.	.	.	.	.	.
