"","x"
"1",83.8881614702016
"2",78.8973330940098
"3",75.522741563747
"4",72.7859363753917
"5",70.4175531608889
"6",68.2965467171994
"7",66.3561593713265
"8",64.5549518034415
"9",62.8651128033735
"10",61.2669086332077
"11",59.7457386309126
"12",58.2904414276599
"13",56.8922581067867
"14",55.5441654346331
"15",54.2404295239521
"16",52.9762969311721
"17",51.7477747678689
"18",50.5514703588234
"19",49.3844718555239
"20",48.2442577061595
"21",47.1286268923007
"22",46.0356443928677
"23",44.963598001454
"24",43.9109637362631
"25",42.8763778416183
"26",41.8586139082794
"27",40.8565640134345
"28",39.8692230496066
"29",38.8956756072154
"30",37.9350849198104
"31",36.9866834887366
"32",36.0497650853474
"33",35.1236778909434
"34",34.2078185824028
"35",33.3016272086007
"36",32.4045827318006
"37",31.5161991311604
"38",30.6360219837549
"39",29.763625453132
"40",28.8986096271999
"41",28.0405981567868
"42",27.1892361540016
"43",26.3441883159026
"44",25.505137244239
"45",24.671781936382
"46",23.8438364261818
"47",23.0210285565124
"48",22.2030988678008
"49",21.3897995889761
"50",20.5808937190779
"51",19.7761541892974
"52",18.9753630965285
"53",18.1783110006207
"54",17.3847962784781
"55",16.5946245289733
"56",15.8076080233449
"57",15.023565196364
"58",14.2423201740784
"59",13.4637023344048
"60",12.6875458972345
"61",11.9136895410684
"62",11.1419760434984
"63",10.3722519431143
"64",9.60436722065125
"65",8.83817499738958
"66",8.07353124899991
"67",7.31029453317762
"68",6.54832572954795
"69",5.78748779043936
"70",5.02764550122539
"71",4.26866524902343
"72",3.51041479861505
"73",2.75276307451663
"74",1.99557994818422
"75",1.23873602938067
"76",0.482102460769557
"77",-0.274449285171817
"78",-1.03104760780848
"79",-1.78782097944863
"80",-2.54489814676048
"81",-3.30240833337873
"82",-4.06048144458468
"83",-4.81924827496165
"84",-5.57884071995265
"85",-6.33939199228136
"86",-7.10103684423964
"87",-7.86391179689649
"88",-8.62815537734532
"89",-9.39390836517882
"90",-10.1613140494659
"91",-10.9305184976032
"92",-11.7016708375266
"93",-12.4749235548989
"94",-13.2504328070375
"95",-14.0283587555173
"96",-14.8088659195785
"97",-15.5921235526912
"98",-16.3783060448845
"99",-17.1675933537371
"100",-17.960171467264
"101",-18.7562329023143
"102",-19.555977242537
"103",-20.3596117204808
"104",-21.1673518489791
"105",-21.9794221076484
"106",-22.7960566911192
"107",-23.6175003265293
"108",-24.4440091688794
"109",-25.2758517841
"110",-26.1133102311415
"111",-26.9566812561296
"112",-27.8062776136625
"113",-28.6624295327511
"114",-29.5254863477784
"115",-30.3958183183031
"116",-31.2738186656651
"117",-32.1599058593415
"118",-33.0545261920475
"119",-33.9581566899445
"120",-34.8713084133383
"121",-35.7945302143627
"122",-36.7284130319125
"123",-37.6735948212508
"124",-38.6307662372672
"125",-39.6006772175951
"126",-40.5841446464964
"127",-41.5820613249718
"128",-42.5954065302709
"129",-43.6252585234292
"130",-44.6728094631035
"131",-45.7393833169903
"132",-46.8264575417447
"133",-47.935689548009
"134",-49.0689493078503
"135",-50.2283599414956
"136",-51.4163488066319
"137",-52.6357126139203
"138",-53.8897015802138
"139",-55.1821298942422
"140",-56.5175233007157
"141",-57.9013202783697
"142",-59.3401526931116
